text,label
"""Rather, the <e1>entrails</e1> contained mostly <e2>apples</e2> and corn.""",content-container
"""Unlike a <e1>hard-copy</e1> <e2>book</e2> (at an even higher price), this one purchase ensures you will be up to date with all future releases of the electronic book.""",origin-entity
"""The <e1>energy</e1> of emission produces the <e2>separation field</e2>.""",product-producer
"""Beginning in 1966-67, the <e1>club</e1> made the <e2>playoffs</e2> nine consecutive seasons, the only NHL team of the period to accomplish that feat.""",product-producer
"""<e1>Judges</e1> wear the bench <e2>wig</e2> when they are sitting in court.""",instrument-agency
"""The <e1>library</e1> contained <e2>books</e2> of guidance on the processes.""",content-container
"""The typical <e1>flu infection</e1> starts with <e2>fever</e2>, muscular pains, headache and general fatigue.""",cause-effect
"""Is there anything like <e1>peanut butter</e1> but not high in <e2>calories</e2>?""",part-whole
"""A goal is like a mountain outcropping to which a <e1>climber</e1> throws a <e2>grappling hook</e2> and pulls themselves up.""",instrument-agency
"""I was trained as a <e1>violin</e1> <e2>maker</e2>, over 20 years ago, and have built violins (baroque and classical), violas, cellos, viols da gamba, and viols d'amore.""",product-producer
"""Because of the Depression the original design was cut back significantly, but the <e1>building</e1> contained a number of unique <e2>architectural features</e2>.""",content-container
"""This <e1>manual</e1> is for the serious <e2>user</e2> of the GNU Image Manipulation Program.""",theme_tool
"""He went on to examine the <e1>theory</e1> from a <e2>risk assessment perspective</e2>.""",origin-entity
"""Retailers have done their bit to put <e1>wine</e1> in the <e2>hands</e2> of the masses, to make it more accessible to the wider UK public, and there is little more that they can do in this regard.""",content-container
"""For projects submitted at national level, the <e1>volunteer</e1> is sent by a <e2>sending organization</e2> legally established in his/her country of residence.""",origin-entity
"""When the first transplant took place at St. Paul's in 1986, the vast majority of <e1>patients</e1> received a new <e2>kidney</e2> from a deceased donor.""",part-whole
"""Mathematical <e1>talent</e1> is a combination of <e2>ingenuity</e2>, insight, creativity, the willingness to experiment, and persistence.""",part-whole
"""Recruiting <e1>talented computer scientists</e1> from <e2>underrepresented communities</e2> is important to current and future workforce needs of the Computation Directorate as well as the Laboratory as a whole.""",origin-entity
"""If you follow the instructions you should be able to remove the <e1>virus</e1> from <e2>infected documents</e2>.""",part-whole
"""The fascinating aspect of therapeutic riding is that the <e1>rider</e1> sitting astride a <e2>horse</e2> walking establishes what is a perfect walking gait for the human.""",instrument-agency
"""After all the <e1>color</e1> <e2>spots</e2> on the filter paper have dried, go back and repeat the process with the toothpicks to get more color on each spot.""",part-whole
"""The soft brown and beige <e1>tones</e1> in the decoration provide a <e2>tranquil mood</e2>.""",product-producer
"""<e1>Driving</e1> with <e2>sleep deprivation</e2> can have similar effects as driving under the influence.""",cause-effect
"""Tim Boyle (1846) checks a <e1>flask</e1> that contains the dried cathode precursor <e2>powder</e2>.""",content-container
"""The <e1>gavel</e1> helps the <e2>judge</e2> establish his or her rule over the court room.""",instrument-agency
"""She spread a cream wax, applied strips (the <e1>spa</e1> uses a stripless <e2>wax</e2> for the bikini), and removed them with such agility that we barely flinched.""",instrument-agency
"""People who work in mines may be exposed to radon and, in some parts of the country, <e1>radon</e1> is found in <e2>houses</e2>.""",part-whole
"""Does the black spot on your <e1>labrador</e1>'s <e2>tongue</e2> mean he's really a Chow mix?""",part-whole
"""Suddenly a <e1>nurse</e1> takes off <e2>her familiar loose-fitting clothes</e2>, and dresses her in clothes, which fit her more closely.""",origin-entity
"""Originally, the typewriter sales companies sold the <e1>typist</e1> with the <e2>typewriter</e2>.""",instrument-agency
"""Elisabetta Valtz Fino writes interestingly on the <e1>contents</e1> of <e2>gallery</e2> XVI of the Museum, home to finds from the Seleucid period, named after Seleucus.""",part-whole
"""Virtually all hillside farmers grow maize during both seasons, and many of the <e1>farmers</e1> cultivate <e2>beans</e2>, rice, and other crops as well.""",product-producer
"""The <e1>homes</e1> are from a <e2>simpler time</e2>, when closets were tiny and bathrooms were few, but the woodwork and stonework are inspiring.""",origin-entity
"""The <e1>climber</e1> had a <e2>hook</e2> in each hand.""",instrument-agency
"""The <e1>table</e1> is used for <e2>layout</e2>, and does not use any structural markup for the purpose of visual formatting.""",theme_tool
"""Mayor has a <e1>proposal</e1> for a Suffolk <e2>campus</e2>.""",theme_tool
"""These vocabularies can be mixed in individual RDF documents or data stores, allowing <e1>aggregation</e1> of <e2>descriptions</e2> from all available terminologies.""",part-whole
"""On this oval porthole, a lace <e1>drape</e1> keeps the <e2>bathroom</e2> private while showing off the shapely window and letting in light.""",instrument-agency
"""These early Bristol recordings laid the groundwork for much of the <e1>country</e1> <e2>music</e2> that followed.""",origin-entity
"""In addition to the preparation of the road condition report, the <e1>police</e1> <e2>dispatchers</e2> are responsible for several other critical functions.""",part-whole
"""The <e1>booby trap</e1> Puller stepped on was made with a <e2>howitzer shell</e2>.""",instrument-agency
"""Prince Edward Island submitted a design with a <e1>garland</e1> of <e2>roses</e2> and shamrock.""",part-whole
"""We know this <e1>telecommunications</e1> <e2>company</e2>.""",product-producer
"""These functions were designed to steal a reference because of a common <e1>idiom</e1> for populating a <e2>tuple</e2> or list with newly created objects.""",theme_tool
"""It is no justification that the <e1>defamation</e1> comes from a <e2>bishop</e2>.""",product-producer
"""We're always looking for <e1>feedback</e1> from <e2>readers</e2> and articles to highlight.""",origin-entity
"""For heart health, <e1>margarine</e1> is low in <e2>saturated fat</e2>.""",part-whole
"""On the other hand, <e1>gin</e1> is distilled from a <e2>neutral grain spirit</e2>, which is then infused with juniper and a host of other botanicals.""",origin-entity
"""The Museum exhibits major <e1>collections</e1> of <e2>antiquities</e2> from Egypt.""",part-whole
"""The remarkably comprehensive 32-page 2004 Memorandum of Understanding prohibited the <e1>candidates</e1> from <e2>questioning</e2> each other, limited rebuttals to a mere 30 seconds, barred direct follow-up questions and entirely prohibited surrebuttals.""",origin-entity
"""Another <e1>reason</e1> is to get extremely high energy <e2>densities</e2> in collisions of matter and antimatter.""",theme_tool
"""The <e1>building</e1> contained <e2>laboratory facilities</e2> for conducting spectrochemical, chemical, and mass spectrometric analyses.""",content-container
"""In each <e1>house</e1> lives a <e2>person</e2> with a different nationality.""",content-container
"""<e1>Police officer</e1> uses a ""Taser"" <e2>stun gun</e2> to subdue a glass-wielding six-year-old.""",instrument-agency
"""The only part left from the <e1>default design</e1> was the <e2>top blue border line</e2> of the title frame.""",part-whole
"""The <e1>bomb</e1> was contained in a <e2>suitcase</e2> and was planted by two men.""",content-container
"""Tub drains clog up with hair and the <e1>grease</e1> from <e2>soap</e2> and must be cleaned out occasionally.""",cause-effect
"""The latest polls earlier this year showed that 87% of Iraqis support a <e1>request</e1> for setting a <e2>timetable</e2> for pulling out the occupation troops.""",theme_tool
"""The <e1>tailor</e1> left his <e2>scissors</e2> on a wall below his balcony.""",instrument-agency
"""Digital computers actually execute numerical instructions: bitstrings that contain information in the 'native' <e1>language</e1> created by the machine's <e2>designers</e2>.""",product-producer
"""Gates varied in width because there are 25 different <e1>widths</e1> of <e2>walkways</e2> in Central Park.""",part-whole
"""The <e1>mallet</e1> would be held in one hand with the <e2>chisel</e2> touching the wood in the other.""",instrument-agency
"""And we do recommend excersise, as the <e1>kitchen</e1> holds <e2>culinary temptations</e2> in store for you that are bound to prolong your evening and lift your spirit.""",content-container
"""The <e1>following advice</e1> is distilled from <e2>builders</e2> and first-hand experience.""",origin-entity
"""Kids love watching the stages of <e1>growth</e1> from <e2>caterpillar</e2> to cocoon to butterfly in this easy reliable kit.""",cause-effect
"""The main cell types are fibroblasts, macrophages and adipocytes (the <e1>hypodermis</e1> contains 50% of <e2>body fat</e2>).""",content-container
"""Fruit juice has all the <e1>fruit</e1> <e2>sugar</e2> and none of the fruit fiber, and only some of the fruit nutrients.""",origin-entity
"""Original <e1>works</e1> of <e2>authorship</e2> were fixed in a tangible medium of expression.""",part-whole
"""Like many recipes for stuffing, the original <e1>recipe</e1> contained <e2>apples</e2>, but as apples are a higher carb fruit, I have substituted cranberries which have the dual effect of making the stuffing lower carb than the regular recipe and also adding a little extra seasonal color and flavor.""",content-container
"""A <e1>car battery</e1> powered a <e2>laptop computer</e2> connected to a small, portable satellite antenna.""",instrument-agency
"""The <e1>land</e1> was farmed for <e2>olives</e2> and a few other crops.""",product-producer
"""The <e1>video sequence</e1> is from the <e2>movie</e2> 'Forrest Gump'.""",origin-entity
"""With these axioms, the <e1>judges</e1> cultivated the <e2>principles</e2> of judgment, and those principles could be used in gauging the restrictions on freedom that were justified or unjustified, in any domain of the law.""",product-producer
"""You should place the awl or <e1>screwdriver</e1> underneath the <e2>hinge</e2>, with the pointy end touching the end of the bolt or screw.""",instrument-agency
"""Most people will use a <e1>paddle</e1> to propel their <e2>canoe</e2>.""",instrument-agency
"""Once the <e1>photon</e1> was inside the <e2>cloud</e2>, the control beam was switched off, allowing the photon to come to a halt inside the dense ensemble of atoms.""",content-container
"""The mountains of the peninsula can receive substantial rains and periodically, large <e1>amounts</e1> of <e2>water</e2> are washed down the river beds.""",part-whole
"""Thatch is caused by <e1>excessive growth</e1> from <e2>overfertilizing</e2>, by allowing the grass to get too high before mowing, or by incorrect watering.""",cause-effect
"""Eight rooms surround a central square <e1>room</e1> that contains the mortal <e2>remains</e2> of Bibi Pari.""",content-container
"""Women may experience <e1>anxiety</e1> from the <e2>time</e2> they first learn about the breast abnormality.""",cause-effect
"""If you are cleaning a <e1>coffee</e1> <e2>maker</e2> that hasn't been cleaned regularly, repeat this step again with a fresh vinegar and water mixture.""",product-producer
"""During periods of wide <e1>blood sugar fluctuations</e1> and after any <e2>change</e2> in insulin dose, the blood sugar must also be measured during the night.""",cause-effect
"""Unless the public authority knows that the <e1>applicant</e1> has used a <e2>pseudonym</e2>, it will be difficult to refuse a request on that ground.""",instrument-agency
"""Anthony finds inspiration in a beautiful, enigmatic older woman who teaches him to follow his heart and find <e1>happiness</e1> through <e2>swing dancing</e2>.""",cause-effect
"""It is set in a future in which the <e1>oceans</e1> are farmed for <e2>food</e2>.""",product-producer
"""Rattles also wear out or break off, so it is unusual to find an adult <e1>snake</e1> with 10 <e2>rattles</e2>.""",part-whole
"""Located near the equator in South America, the <e1>cocoa tree</e1> produces <e2>cocoa beans</e2>, the source of all chocolate.""",product-producer
"""The book is about HOW the <e1>bomb</e1> was used in <e2>diplomacy</e2>.""",instrument-agency
"""The <e1>audition</e1> was for a small <e2>part</e2> in Where the Heart Is.""",theme_tool
"""At normal room temperatures, <e1>flammable liquids</e1> can give off enough <e2>vapour</e2> to form burnable mixtures with air.""",cause-effect
"""The Wal-Mart Supercenter plans to employ as many as 455 associates, including 180 planned new <e1>jobs</e1> created by the <e2>relocation</e2>.""",product-producer
"""Details of <e1>today</e1>'s <e2>bills</e2> can be found on the Order of Business page.""",part-whole
"""At that point the <e1>patient</e1> grabbed the arm of the dentist to forcibly pull the <e2>drill</e2> out of his mouth.""",instrument-agency
"""The Cleveland Cavaliers envision an <e1>arena</e1> full of cheering <e2>fans</e2> with no tickets in their pockets.""",part-whole
"""I am still amazed just how deep and loud it can get with certain soundtracks and songs, literally making things bounce off the <e1>walls</e1> in my <e2>house</e2>.""",content-container
"""One potential problem which comes to mind upon seeing the two-inch <e1>carpet</e1> of <e2>dust</e2> covering lower Manhattan is, of course, exposure to asbestos.""",part-whole
"""Due to the large <e1>mass</e1> of the <e2>books</e2>, the force of the hammer is sufficiently resisted (inertia).""",part-whole
"""It's unfortunate you didn't try a <e1>potato</e1> <e2>vodka</e2>.""",origin-entity
"""The total contents of the <e1>purse</e1> included a <e2>cell phone</e2> and wallet valued at $120.""",content-container
"""This is a gravity assist or a <e1>swingby</e1> for a <e2>spacecraft</e2>.""",theme_tool
"""Requesting a lock on a resource requires contacting the <e1>server</e1> responsible for granting the <e2>lock</e2>.""",theme_tool
"""PHY 319 is presently taught in three 50-minute lectures per week in which the <e1>instructor</e1> makes a <e2>chalkboard presentation</e2>.""",product-producer
"""The <e1>formula</e1> for calculating the top rated 250 <e2>titles</e2> gives a true Bayesian estimate.""",theme_tool
"""The Group's influence was so widespread by the end of 1931 that they no longer found it necessary to continue as a <e1>group</e1> of <e2>painters</e2>.""",part-whole
"""From our point of view, the <e1>moral outrage</e1> over Manet's <e2>painting</e2> seems hypocritical, if not utterly inexplicable.""",cause-effect
"""A very robust metal hydride discovery <e1>approach</e1> was made with a demonstrated HTS <e2>methodology</e2>.""",instrument-agency
"""The <e1>above advertisement</e1> is from the <e2>server provider</e2> not from me.""",origin-entity
"""The <e1>man</e1> radiated <e2>jolliness</e2>.""",origin-entity
"""The original <e1>engine</e1> powered a limited-production Mustang <e2>model</e2> sold for two years.""",instrument-agency
"""Why are the <e1>cell</e1> <e2>phones</e2> developing this much fast among the people?""",part-whole
"""If the <e1>notice</e1> is sent by <e2>fax</e2>, the notice is not deemed received until 3 days after faxing it.""",origin-entity
"""<e1>Habitat degradation</e1> from within <e2>stream channels</e2>, loss of riparian vegetation, and reductions in water quality degrade and also limit the population.""",cause-effect
"""And the whale was short in front of the big <e1>crowd</e1> of <e2>tourists</e2>.""",part-whole
"""To that end the <e1>faculty</e1> collaboratively designed the credential, certificate, and degree <e2>programs</e2> to provide you with a sequence of coursework and field experiences that prepares you to not only act like teachers, counselors and administrators, but to think like them as well.""",product-producer
"""Aromatherapy can be used for <e1>stress relief</e1> through <e2>massage</e2> with sedatives like lavender and sweet marjoram.""",cause-effect
"""He derives great joy and <e1>happiness</e1> from <e2>cycling</e2>.""",cause-effect
"""He caught her <e1>arm</e1> just above the <e2>wrist</e2>.""",part-whole
"""Orpheus falls in love with the <e1>country</e1> <e2>girl</e2> for no apparent reason save her name and beauty.""",origin-entity
"""Put the <e1>peels</e1> in a different <e2>sack</e2>.""",content-container
"""A <e1>moat</e1> keeps the <e2>enemy</e2> at bay.""",instrument-agency
"""In a departure from previous liftoffs, ground and aircraft cameras monitored Discovery for possible <e1>damage</e1> from falling <e2>debris</e2>.""",cause-effect
"""This means that only the <e1>copyright</e1> <e2>holders</e2> are empowered to act against violations.""",part-whole
"""Polar bears and hippos have joined the ranks of species threatened with <e1>extinction</e1> from <e2>climate change</e2>, unregulated hunting and other dangers created by humans.""",cause-effect
"""This <e1>view</e1> from the inside is from the <e2>bridge</e2> that spans Atherton Street.""",origin-entity
"""The story not only put <e1>wine</e1> in a <e2>positive health light</e2>, but pointed out that it was superior to other foods in that particular regard.""",content-container
"""In the event of an <e1>evacuation</e1> after normal <e2>business hours</e2>, the on-duty Security Officer and maintenance personnel will be responsible for the notification and evacuation of occupants of all buildings.""",cause-effect
"""Deposits grew 20% with particularly good <e1>growth</e1> from <e2>corporates</e2>.""",cause-effect
"""The <e1>rain</e1> begets the <e2>food</e2> we eat.""",product-producer
"""Two years ago, President George W. Bush ordered the <e1>activation</e1> by the <e2>end</e2> of of a system capable of defending the United States against a missile attack by a terrorist group or an unfriendly rogue state such as North Korea.""",cause-effect
"""Someone once said that <e1>progress</e1> comes from <e2>dissatisfaction</e2>.""",cause-effect
"""Apparantly you think two wrongs can make a right, but that doesn't help the starving people of Zimbabwe, who were previously not starving due to the <e1>land</e1> being farmed for <e2>profit</e2> instead of used as political gifts.""",product-producer
"""We kept the <e1>antenna</e1> inside the <e2>car</e2>, which limited range due to the car's attenuation.""",content-container
"""The <e1>bag</e1> contained <e2>books</e2>, a cell phone and notepads, but no explosives.""",content-container
"""Cuban <e1>ballplayers</e1> wield a bigger <e2>policy bat</e2>.""",instrument-agency
"""The <e1>river</e1> once powered a <e2>gristmill</e2>.""",instrument-agency
"""In fact, nobody received a <e1>drinking</e1> <e2>injury</e2> the whole weekend.""",cause-effect
"""Six glowing disks await <e1>activation</e1> by the <e2>footsteps</e2> of desert wanderers.""",cause-effect
"""Chinese liquor is a kind of <e1>wine</e1> produced by <e2>solidified fermentation</e2> of grain.""",product-producer
"""To get a perfect <e1>rowing stroke</e1> the <e2>oar</e2> can't have too much forward pitch or it will dive.""",instrument-agency
"""In my tests with a final engineering prototype, Scooba generally did a fine job cleaning the <e1>linoleum</e1> in my <e2>kitchen</e2> after my 2-year-old daughter's birthday party.""",content-container
"""A focus on convenience and knowledgeable service has enabled the 4,600-store chain to stake out a modest but healthy share of the huge hardware market, providing the <e1>impetus</e1> for the biggest new-store <e2>expansion</e2> in its history.""",theme_tool
"""If you have any questions concerning the <e1>information</e1> in the <e2>Guidelines</e2>, contact the secretary.""",part-whole
"""This teaches that the <e1>body</e1> is procreated by the <e2>parents</e2> and the soul and spirit are directly created by God and placed in the body.""",product-producer
"""The <e1>sledgehammer</e1> can apply more <e2>impulse</e2> than other hammers due to its large size.""",instrument-agency
"""Such airships are essentially motorized free balloons and the <e1>engines</e1> are carried in a <e2>car</e2> attached to the lower side or bottom of the bag.""",content-container
"""It has long been thought that the <e1>crypt</e1> contained the <e2>tomb</e2> of St Paul but the altar had hidden it.""",content-container
"""We actually put <e1>tea</e1> in the <e2>food</e2> whenever possible.""",content-container
"""The lower portion of the <e1>building</e1> contained hundreds of <e2>storage rooms</e2>.""",content-container
"""The <e1>electricity</e1> is produced by 440 nuclear <e2>reactors</e2> in 31 countries.""",product-producer
"""During discussion of the legislation concerns, were raised that the inclusion of <e1>protection</e1> from <e2>exposure</e2> to the sun would place too heavy a burden on a number of smaller companies, especially building firms and small catering concerns, which may have a lot of outside workers.""",cause-effect
"""This shows Wikipedia's <e1>almanac</e1> of <e2>events</e2> for the current year.""",part-whole
"""The troubled company is still feeling <e1>aftershocks</e1> after its devastating <e2>withdrawal</e2> of the pain medication Vioxx six months ago.""",cause-effect
"""When the power goes, the <e1>dentist</e1> quizzically raises the <e2>drill</e2>, and examines it.""",instrument-agency
"""The <e1>submission</e1> <e2>deadline</e2> is February, 2, 2007.""",theme_tool
"""I'm the <e1>decision</e1> <e2>maker</e2>, and I had to come up with a way forward that precluded disaster.""",product-producer
"""How can I get rid of the <e1>ants</e1> in my <e2>kitchen</e2> without using dangerous pesticides?""",content-container
"""The provisions of the <e1>proposal</e1> for a <e2>directive</e2> also run counter to the case.""",theme_tool
"""Short-term disability and long-term <e1>disability</e1> <e2>benefits</e2> are available at no cost to USTelecom employees.""",origin-entity
"""It often becomes necessary to delete <e1>objects</e1> from the <e2>chart</e2> during the course of monitoring system performance.""",origin-entity
"""A couple of spoonsful would have been mixed with water to create a sweet and tart drink, the <e1>fruit</e1> providing the flavor and <e2>color</e2>, the sugar providing the sweetness, and the vinegar providing the tartness.""",origin-entity
"""The <e1>box</e1> includes <e2>care instructions</e2>, and the bouquet is ready to be arranged in the accompanying vase.""",part-whole
"""<e1>Energy expenditure</e1> through <e2>physical activity</e2> is a key component in the prevention and treatment of overweight and obesity.""",cause-effect
"""This reservoir is thought to be the heat source for the Geysers geothermal field (on the southwest <e1>side</e1> of the <e2>volcanic field</e2>).""",part-whole
"""The <e1>micropump</e1> is fabricated by the <e2>anisotropic etching</e2>, the boron diffusion and the metal evaporation.""",product-producer
"""Unlike earlier machines, their <e1>typewriter</e1> permits the <e2>typist</e2> to see what is being typed and has other features that make it the first really practical typing machine.""",instrument-agency
"""Retailers should report the income from a coupon's face value and its related handling fee at the time the <e1>coupon</e1> is received from the <e2>customer</e2>.""",origin-entity
"""There was another sign below that showing a man's <e1>head</e1> in <e2>silhouette</e2>, painted a bright yellow.""",part-whole
"""The <e1>kitchen</e1> contained primarily <e2>drug paraphernalia</e2>.""",content-container
"""When the <e1>decision</e1> of the CAMPEP is for continued <e2>accreditation</e2>, the program director is notified in a letter that includes all suggestions.""",theme_tool
"""Showing a sample of a fertilizer package this <e1>fertilizer</e1> <e2>company</e2> shows what to look for on their label.""",product-producer
"""The <e1>intent</e1> of the fourteenth amendment was to protect all <e2>rights</e2>.""",theme_tool
"""The <e1>kitchen</e1> contained a large <e2>stove</e2>, a sink, a small table with chairs, and an old sofa that had seen many children and grandchildren tear at its skin.""",content-container
"""The <e1>experimenters</e1> designed the <e2>shape</e2> and size of the enlarged fiber ends so they don't experience the stresses that usually snap fibers and limit a short-fiber composite's performance.""",product-producer
"""The satisfaction was complete - please find below a <e1>statement</e1> from the <e2>producer</e2>.""",product-producer
"""The <e1>gavel</e1> banged and the <e2>judge</e2> would have sent him back to jail.""",instrument-agency
"""The <e1>ancients</e1> cultivated the <e2>species</e2> 'Heracleum Sphondylium' which is the parsnip a similar plant to carrots.""",product-producer
"""DOE's program is to improve current methods for producing <e1>hydrogen</e1> from <e2>coal</e2>.""",part-whole
"""The commission merely implements the contracts, shielding the <e1>major party candidates</e1> from <e2>public criticism</e2>.""",origin-entity
"""Interestingly, the <e1>sink</e1> was inside the <e2>room</e2>.""",content-container
"""A tokamak is a toroidal (doughnut shape) <e1>magnetic bottle</e1> that contains the <e2>fusion plasma</e2>.""",content-container
"""It was also felt necessary at this time to draw up a similar document, dealing not with the prevention of <e1>marine pollution</e1> by <e2>dumping</e2>, but instead with the prevention of marine pollution by discharges of dangerous substances from land-based sources, watercourses or pipelines.""",cause-effect
"""The <e1>lawn mower</e1> cuts a <e2>swath</e2> of grass as it moves across the lawn.""",instrument-agency
"""Then, in May, 2005, the <e1>government</e1> produced the <e2>factual return</e2>, as ordered by the District Court.""",product-producer
"""The <e1>cathode</e1> emits <e2>electrons</e2>.""",product-producer
"""And now let's look at the other <e1>side</e1> of the <e2>story</e2>.""",part-whole
"""Other non-native species used in aquaculture are brook trout (Salvelinus fontinalis) and lake trout (Salvelinus namaycush), <e1>fishes</e1> that mainly has been farmed for <e2>stocking purposes</e2>.""",product-producer
"""To test this, we placed a kitchen <e1>match</e1> in the <e2>jar</e2> instead of the candle, lit the match, screwed on the lid and dropped the jar.""",content-container
"""The lab added Hypo-allergenic plant <e1>fiber</e1> to complete the <e2>capsule volume requirement</e2>.""",part-whole
"""<e1>Tyramine</e1> is found in <e2>aged, fermented and spoiled food products</e2>.""",part-whole
"""A <e1>dining room</e1> that contains direct <e2>access</e2> from the kitchen is the most practical, unless the room will exist for fluff purposes only.""",content-container
"""The <e1>workshop</e1> is for all <e2>people</e2> involved in the management of institutional Web services.""",theme_tool
"""This would seem to suggest that Hizzoner is on the <e1>hunt</e1> for a new <e2>team</e2>.""",theme_tool
"""About 2000 feet of <e1>passageways</e1> have been located inside the <e2>cave</e2>, and about half of that has been mapped.""",content-container
"""I had told this <e1>headhunter</e1>'s <e2>company</e2> repeatedly that I was only interested in working in the Philadelphia area.""",product-producer
"""EBSA protects the <e1>integrity</e1> of <e2>pensions</e2>, health plans, and other employee benefits for more than 150 million people.""",part-whole
"""Vinegar's <e1>usefulness</e1> doesn't stop inside the <e2>house</e2>.""",content-container
"""Data managers and vendors learned the value of sharing and reusing <e1>resources</e1> from a <e2>common repository</e2> decades ago.""",origin-entity
"""Another good example of the importance of hormonal balance in the body is the <e1>growth hormone</e1> produced by the <e2>pituitary gland</e2>.""",product-producer
"""In a nutshell, <e1>orienteering</e1> combines a <e2>physical skill</e2> with a more cerebral element.""",instrument-agency
"""That's because nostalgia serves a useful defensive and reparative function; it took the <e1>sting</e1> from a <e2>painful episode</e2> in his life by shading the script.""",content-container
"""The obvious <e1>solution</e1> was to standardize on Microsoft Office <e2>software</e2>.""",theme_tool
"""Fourteen trades later, he made his stated goal, which was to trade a <e1>paperclip</e1> for a <e2>house</e2>.""",theme_tool
"""The order reaches the office in minutes, allowing the order staff to start <e1>fulfillment</e1> from <e2>warehouse inventory</e2>.""",cause-effect
"""This experiment is performed with an aqueous solution of a strong <e1>acid</e1> inside a <e2>flask</e2>.""",content-container
"""In most part, it was another a <e1>plea</e1> for the <e2>status quo</e2> and also for patience.""",theme_tool
"""The guarantees so painfully obtained by formal verification of the source program are useless if the <e1>compiler</e1> generates <e2>wrong code</e2>.""",origin-entity
"""The <e1>catalogue</e1> contained <e2>books</e2> published in 1998 warning of the upcoming millennium bug and other similarly germane works, but neither of Brock's bestsellers.""",content-container
"""They mirror to a large extent, but not entirely, those <e1>provisions</e1> contained in the European <e2>convention</e2> on human rights.""",part-whole
"""<e1>Avocado</e1> <e2>butter</e2> is a very rich, moisturizing treatment for the hair and skin, and it has some natural sunscreen properties.""",origin-entity
"""It is a motorized spherical mechanism that is designed to simulate the <e1>rowing motion</e1> of an <e2>oar</e2>.""",instrument-agency
"""The production assistant is basically the <e1>guy</e1> who makes <e2>coffee</e2> and goes to the post office.""",product-producer
"""Sadly I couldn't find any spectacular <e1>videos</e1> of <e2>superfluids</e2> in action.""",part-whole
"""Any herb can be used in <e1>herb</e1> <e2>butter</e2>, but it is best to use bold flavors.""",origin-entity
"""<e1>Supervision</e1> is received from a <e2>golf supervisor</e2>, who reviews work through conferences, reports, and results achieved.""",origin-entity
"""The good friar was insistent on both celibacy and <e1>abstinence</e1> from <e2>laughter</e2>.""",cause-effect
"""Contact the <e1>router</e1>'s <e2>manufacturer</e2> for assistance with configuration and proper setup of your wired router.""",product-producer
"""It is a <e1>method</e1> for the comprehensive proteomic <e2>analysis</e2> of membrane proteins.""",theme_tool
"""But Canadian intelligence agents had seen little in their two years of surveillance to indicate that the ""<e1>bunch</e1> of <e2>guys</e2>"" in Montreal posed a serious danger.""",part-whole
"""<e1>Physician</e1> need only bring <e2>stethoscope</e2> and otoscope.""",instrument-agency
"""The PI <e1>login</e1> is created by the <e2>administrator</e2>.""",product-producer
"""The controlled environment <e1>facility</e1> is for <e2>growth</e2> of experimental material only.""",cause-effect
"""Tou should use a <e1>screwdriver</e1> to tighten the <e2>bolt</e2> very tightly.""",instrument-agency
"""Patient survival one year after transplantation from a living-related donor is 95% and comparably high if the <e1>organ</e1> comes from a cadaveric <e2>donor</e2>.""",product-producer
